DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0917321	9	1	2	12	1	1	1	0	1052	28	0	27.5531 	0	0
DL	0.0919821	9	1	3	1	12	1	1	0	12612	28	0	37.5527	0	0
DL	0.0922321	9	2	0	1	12	1	1	0	12612	28	0	36.9454	0	0
DL	0.0924821	9	2	1	1	12	1	1	0	12612	28	0	36.946	0	0
DL	0.0927321	9	2	2	1	12	1	1	0	12612	28	0	36.9342	0	0
DL	0.0929643	9	2	3	1	11	1	1	0	11560	28	0	36.9249	0	0
UL	0.0929821	9	2	3	12	1	1	1	0	1052	28	0	27.1041 	0	0
DL	0.0932143	9	3	0	1	11	1	1	0	11560	28	0	35.8643	0	0
UL	0.0932321	9	3	0	12	1	1	1	0	1052	28	0	25.7375 	0	0
DL	0.0934643	9	3	1	1	11	1	1	0	11560	28	0	35.8949	0	0
UL	0.0934821	9	3	1	12	1	1	1	0	1052	28	0	25.9976 	0	4.87701e-07
DL	0.0937321	9	3	2	1	12	1	1	0	12612	28	0	35.8844	0	0
DL	0.0939821	9	3	3	1	12	1	1	0	12612	28	0	35.8785	0	0
DL	0.0942321	9	4	0	1	12	1	1	0	12612	28	0	35.889	0	0
DL	0.0944821	9	4	1	1	12	1	1	0	12612	28	0	36.838	0	0
DL	0.0947143	9	4	2	1	11	1	1	0	11560	28	0	36.8298	0	0
UL	0.0947321	9	4	2	12	1	1	1	0	1052	28	0	26.8265 	0	0
DL	0.0949643	9	4	3	1	11	1	1	0	11560	28	0	36.822	0	0
UL	0.0949821	9	4	3	12	1	1	1	0	1052	28	0	26.8316 	0	0
DL	0.0952143	9	5	0	1	11	1	1	0	11560	28	0	36.8269	0	0
UL	0.0952321	9	5	0	12	1	1	1	0	1052	28	0	26.845 	0	0
DL	0.0954821	9	5	1	1	12	1	1	0	12612	28	0	35.192	0	0
DL	0.0957321	9	5	2	1	12	1	1	0	12612	28	0	35.1995	0	0
DL	0.0959821	9	5	3	1	12	1	1	0	12612	28	0	35.1345	0	0
DL	0.0962321	9	6	0	1	12	1	1	0	12612	28	0	35.0519	0	0
DL	0.0964643	9	6	1	1	11	1	1	0	11560	28	0	36.0361	0	0
UL	0.0964821	9	6	1	12	1	1	1	0	1052	28	0	26.0876 	0	0
DL	0.0967143	9	6	2	1	11	1	1	0	11560	28	0	36.0419	0	0
UL	0.0967321	9	6	2	12	1	1	1	0	1052	28	0	26.0845 	0	0
DL	0.0969643	9	6	3	1	11	1	1	0	11560	28	0	36.0349	0	0
UL	0.0969821	9	6	3	12	1	1	1	0	1052	28	0	26.0842 	0	0
DL	0.0972321	9	7	0	1	12	1	1	0	12612	28	0	36.0518	0	0
DL	0.0974821	9	7	1	1	12	1	1	0	12612	28	0	36.0442	0	0
DL	0.0977321	9	7	2	1	12	1	1	0	12612	28	0	38.1935	0	0
DL	0.0979821	9	7	3	1	12	1	1	0	12612	28	0	38.2043	0	0
DL	0.0982143	9	8	0	1	11	1	1	0	11560	28	0	38.1992	0	0
UL	0.0982321	9	8	0	12	1	1	1	0	1052	28	0	28.1821 	0	0
DL	0.0984643	9	8	1	1	11	1	1	0	11560	28	0	38.1985	0	0
UL	0.0984821	9	8	1	12	1	1	1	0	1052	28	0	28.1958 	0	0
DL	0.0987143	9	8	2	1	11	1	1	0	11560	28	0	35.3756	0	0
UL	0.0987321	9	8	2	12	1	1	1	0	1052	28	0	25.4185 	0	0
DL	0.0989821	9	8	3	1	12	1	1	0	12612	28	0	35.3573	0	0
DL	0.0992321	9	9	0	1	12	1	1	0	12612	28	0	35.3493	0	0
DL	0.0994821	9	9	1	1	12	1	1	0	12612	28	0	35.3853	0	0
DL	0.0997321	9	9	2	1	12	1	1	0	12612	28	0	37.0714	0	0
DL	0.0999643	9	9	3	1	11	1	1	0	11560	28	0	37.0866	0	0
UL	0.0999821	9	9	3	12	1	1	1	0	1052	28	0	27.0595 	0	0
