DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0457143	4	5	2	1	11	1	1	0	11560	28	0	36.7059	0	0
UL	0.0457321	4	5	2	12	1	1	1	0	1052	28	0	26.7012 	0	0
DL	0.0459643	4	5	3	1	11	1	1	0	11560	28	0	36.6999	0	0
UL	0.0459821	4	5	3	12	1	1	1	0	1052	28	0	26.6794 	0	0
DL	0.0462143	4	6	0	1	11	1	1	0	11560	28	0	36.6851	0	0
UL	0.0462321	4	6	0	12	1	1	1	0	1052	28	0	26.6427 	0	0
DL	0.0464821	4	6	1	1	12	1	1	0	12612	28	0	36.6626	0	0
DL	0.0467321	4	6	2	1	12	1	1	0	12612	28	0	36.6469	0	0
DL	0.0469821	4	6	3	1	12	1	1	0	12612	28	0	36.6383	0	0
DL	0.0472321	4	7	0	1	12	1	1	0	12612	28	0	36.6537	0	0
DL	0.0474643	4	7	1	1	11	1	1	0	11560	28	0	36.6522	0	0
UL	0.0474821	4	7	1	12	1	1	1	0	1052	28	0	26.6415 	0	0
DL	0.0477143	4	7	2	1	11	1	1	0	11560	28	0	36.6429	0	0
UL	0.0477321	4	7	2	12	1	1	1	0	1052	28	0	26.6335 	0	0
DL	0.0479643	4	7	3	1	11	1	1	0	11560	28	0	36.652	0	0
UL	0.0479821	4	7	3	12	1	1	1	0	1052	28	0	26.6437 	0	0
DL	0.0482321	4	8	0	1	12	1	1	0	12612	28	0	36.7692	0	0
DL	0.0484821	4	8	1	1	12	1	1	0	12612	28	0	36.7929	0	0
DL	0.0487321	4	8	2	1	12	1	1	0	12612	28	0	36.7885	0	0
DL	0.0489821	4	8	3	1	12	1	1	0	12612	28	0	36.7924	0	0
DL	0.0492143	4	9	0	1	11	1	1	0	11560	28	0	36.9402	0	0
UL	0.0492321	4	9	0	12	1	1	1	0	1052	28	0	26.984 	0	0
DL	0.0494643	4	9	1	1	11	1	1	0	11560	28	0	36.9719	0	0
UL	0.0494821	4	9	1	12	1	1	1	0	1052	28	0	26.9918 	0	0
DL	0.0497143	4	9	2	1	11	1	1	0	11560	28	0	36.9818	0	0
UL	0.0497321	4	9	2	12	1	1	1	0	1052	28	0	26.9711 	0	0
DL	0.0499821	4	9	3	1	12	1	1	0	12612	28	0	36.977	0	0
DL	0.0502321	5	0	0	1	12	1	1	0	12612	28	0	36.9837	0	0
DL	0.0504821	5	0	1	1	12	1	1	0	12612	28	0	35.2256	0	0
DL	0.0507321	5	0	2	1	12	1	1	0	12612	28	0	35.2379	0	0
DL	0.0509643	5	0	3	1	11	1	1	0	11560	28	0	35.2758	0	0
UL	0.0509821	5	0	3	12	1	1	1	0	1052	28	0	25.2938 	0	1.77636e-14
DL	0.0512143	5	1	0	1	11	1	1	0	11560	28	0	35.3025	0	0
UL	0.0512321	5	1	0	12	1	1	1	0	1052	28	0	25.3067 	0	3.55271e-14
DL	0.0514643	5	1	1	1	11	1	1	0	11560	28	0	36.2359	0	0
UL	0.0514821	5	1	1	12	1	1	1	0	1052	28	0	26.0601 	0	0
DL	0.0517321	5	1	2	1	12	1	1	0	12612	28	0	36.2507	0	0
DL	0.0519821	5	1	3	1	12	1	1	0	12612	28	0	36.2755	0	0
DL	0.0522321	5	2	0	1	12	1	1	0	12612	28	0	36.2608	0	0
DL	0.0524821	5	2	1	1	12	1	1	0	12612	28	0	36.4506	0	0
DL	0.0527143	5	2	2	1	11	1	1	0	11560	28	0	36.4585	0	0
UL	0.0527321	5	2	2	12	1	1	1	0	1052	28	0	26.4285 	0	0
DL	0.0529643	5	2	3	1	11	1	1	0	11560	28	0	36.4483	0	0
UL	0.0529821	5	2	3	12	1	1	1	0	1052	28	0	26.4208 	0	0
DL	0.0532143	5	3	0	1	11	1	1	0	11560	28	0	36.4371	0	0
UL	0.0532321	5	3	0	12	1	1	1	0	1052	28	0	26.4281 	0	0
DL	0.0534821	5	3	1	1	12	1	1	0	12612	28	0	36.4382	0	0
DL	0.0537321	5	3	2	1	12	1	1	0	12612	28	0	36.3464	0	0
DL	0.0539821	5	3	3	1	12	1	1	0	12612	28	0	36.355	0	0
DL	0.0542321	5	4	0	1	12	1	1	0	12612	28	0	36.3633	0	0
DL	0.0544643	5	4	1	1	11	1	1	0	11560	28	0	36.3631	0	0
UL	0.0544821	5	4	1	12	1	1	1	0	1052	28	0	26.3734 	0	0
DL	0.0547143	5	4	2	1	11	1	1	0	11560	28	0	37.2007	0	0
UL	0.0547321	5	4	2	12	1	1	1	0	1052	28	0	27.2246 	0	0
DL	0.0549643	5	4	3	1	11	1	1	0	11560	28	0	37.2346	0	0
UL	0.0549821	5	4	3	12	1	1	1	0	1052	28	0	27.2401 	0	0
DL	0.0552321	5	5	0	1	12	1	1	0	12612	28	0	37.2402	0	0
DL	0.0554821	5	5	1	1	12	1	1	0	12612	28	0	37.2512	0	0
DL	0.0557321	5	5	2	1	12	1	1	0	12612	28	0	36.7534	0	0
DL	0.0559821	5	5	3	1	12	1	1	0	12612	28	0	36.766	0	0
DL	0.0562143	5	6	0	1	11	1	1	0	11560	28	0	36.7426	0	0
UL	0.0562321	5	6	0	12	1	1	1	0	1052	28	0	26.7195 	0	0
DL	0.0564643	5	6	1	1	11	1	1	0	11560	28	0	36.7312	0	0
UL	0.0564821	5	6	1	12	1	1	1	0	1052	28	0	26.7059 	0	0
DL	0.0567143	5	6	2	1	11	1	1	0	11560	28	0	36.7099	0	0
UL	0.0567321	5	6	2	12	1	1	1	0	1052	28	0	25.9862 	0	0
DL	0.0569821	5	6	3	1	12	1	1	0	12612	28	0	36.1345	0	0
DL	0.0572321	5	7	0	1	12	1	1	0	12612	28	0	36.1134	0	0
DL	0.0574821	5	7	1	1	12	1	1	0	12612	28	0	36.0711	0	0
DL	0.0577321	5	7	2	1	12	1	1	0	12612	28	0	36.0209	0	0
DL	0.0579643	5	7	3	1	11	1	1	0	11560	28	0	36.7676	0	0
UL	0.0579821	5	7	3	12	1	1	1	0	1052	28	0	26.7654 	0	0
DL	0.0582143	5	8	0	1	11	1	1	0	11560	28	0	36.7639	0	0
UL	0.0582321	5	8	0	12	1	1	1	0	1052	28	0	26.7758 	0	0
DL	0.0584643	5	8	1	1	11	1	1	0	11560	28	0	36.7641	0	0
UL	0.0584821	5	8	1	12	1	1	1	0	1052	28	0	26.7858 	0	0
DL	0.0587321	5	8	2	1	12	1	1	0	12612	28	0	36.7662	0	0
DL	0.0589821	5	8	3	1	12	1	1	0	12612	28	0	35.1375	0	0
DL	0.0592321	5	9	0	1	12	1	1	0	12612	28	0	35.1089	0	0
DL	0.0594821	5	9	1	1	12	1	1	0	12612	28	0	35.1143	0	0
DL	0.0597143	5	9	2	1	11	1	1	0	11560	28	0	35.1023	0	0
UL	0.0597321	5	9	2	12	1	1	1	0	1052	28	0	25.0986 	0	0
DL	0.0599643	5	9	3	1	11	1	1	0	11560	28	0	37.7076	0	0
UL	0.0599821	5	9	3	12	1	1	1	0	1052	28	0	27.7137 	0	0
DL	0.0602143	6	0	0	1	11	1	1	0	11560	28	0	37.7176	0	0
UL	0.0602321	6	0	0	12	1	1	1	0	1052	28	0	27.7143 	0	0
DL	0.0604821	6	0	1	1	12	1	1	0	12612	28	0	37.7072	0	0
DL	0.0607321	6	0	2	1	12	1	1	0	12612	28	0	37.6981	0	0
DL	0.0609821	6	0	3	1	12	1	1	0	12612	28	0	37.7356	0	0
DL	0.0612321	6	1	0	1	12	1	1	0	12612	28	0	36.1406	0	0
DL	0.0614643	6	1	1	1	11	1	1	0	11560	28	0	36.1493	0	0
UL	0.0614821	6	1	1	12	1	1	1	0	1052	28	0	26.4007 	0	0
DL	0.0617143	6	1	2	1	11	1	1	0	11560	28	0	36.1443	0	0
UL	0.0617321	6	1	2	12	1	1	1	0	1052	28	0	26.4071 	0	0
DL	0.0619643	6	1	3	1	11	1	1	0	11560	28	0	36.1575	0	0
UL	0.0619821	6	1	3	12	1	1	1	0	1052	28	0	26.4201 	0	0
DL	0.0622321	6	2	0	1	12	1	1	0	12612	28	0	36.456	0	0
DL	0.0624821	6	2	1	1	12	1	1	0	12612	28	0	36.4449	0	0
DL	0.0627321	6	2	2	1	12	1	1	0	12612	28	0	36.4579	0	0
DL	0.0629821	6	2	3	1	12	1	1	0	12612	28	0	36.4677	0	0
DL	0.0632143	6	3	0	1	11	1	1	0	11560	28	0	35.8704	0	0
UL	0.0632321	6	3	0	12	1	1	1	0	1052	28	0	25.9088 	0	0
DL	0.0634643	6	3	1	1	11	1	1	0	11560	28	0	35.9281	0	0
UL	0.0634821	6	3	1	12	1	1	1	0	1052	28	0	25.8896 	0	0
DL	0.0637143	6	3	2	1	11	1	1	0	11560	28	0	35.9824	0	0
UL	0.0637321	6	3	2	12	1	1	1	0	1052	28	0	25.9206 	0	0
DL	0.0639821	6	3	3	1	12	1	1	0	12612	28	0	36.0768	0	0
DL	0.0642321	6	4	0	1	12	1	1	0	12612	28	0	35.3104	0	0
DL	0.0644821	6	4	1	1	12	1	1	0	12612	28	0	35.3304	0	0
DL	0.0647321	6	4	2	1	12	1	1	0	12612	28	0	35.301	0	0
DL	0.0649643	6	4	3	1	11	1	1	0	11560	28	0	35.3117	0	0
UL	0.0649821	6	4	3	12	1	1	1	0	1052	28	0	25.2771 	0	0
DL	0.0652143	6	5	0	1	11	1	1	0	11560	28	0	36.4688	0	0
UL	0.0652321	6	5	0	12	1	1	1	0	1052	28	0	26.4405 	0	0
DL	0.0654643	6	5	1	1	11	1	1	0	11560	28	0	36.4489	0	0
UL	0.0654821	6	5	1	12	1	1	1	0	1052	28	0	26.4345 	0	0
DL	0.0657321	6	5	2	1	12	1	1	0	12612	28	0	36.4467	0	0
DL	0.0659821	6	5	3	1	12	1	1	0	12612	28	0	36.4596	0	0
DL	0.0662321	6	6	0	1	12	1	1	0	12612	28	0	36.4916	0	0
DL	0.0664821	6	6	1	1	12	1	1	0	12612	28	0	36.8136	0	0
DL	0.0667143	6	6	2	1	11	1	1	0	11560	28	0	36.8092	0	0
UL	0.0667321	6	6	2	12	1	1	1	0	1052	28	0	26.8005 	0	0
DL	0.0669643	6	6	3	1	11	1	1	0	11560	28	0	36.8101	0	0
UL	0.0669821	6	6	3	12	1	1	1	0	1052	28	0	26.8056 	0	0
DL	0.0672143	6	7	0	1	11	1	1	0	11560	28	0	36.8321	0	0
UL	0.0672321	6	7	0	12	1	1	1	0	1052	28	0	26.7902 	0	0
DL	0.0674821	6	7	1	1	12	1	1	0	12612	28	0	37.2298	0	0
DL	0.0677321	6	7	2	1	12	1	1	0	12612	28	0	37.1981	0	0
DL	0.0679821	6	7	3	1	12	1	1	0	12612	28	0	37.1746	0	0
DL	0.0682321	6	8	0	1	12	1	1	0	12612	28	0	37.138	0	0
DL	0.0684643	6	8	1	1	11	1	1	0	11560	28	0	36.1613	0	0
UL	0.0684821	6	8	1	12	1	1	1	0	1052	28	0	23.7436 	0	0
DL	0.0687143	6	8	2	1	11	1	1	0	11560	28	0	36.1902	0	0
UL	0.0687321	6	8	2	12	1	1	1	0	1052	28	0	23.7618 	0	0
DL	0.0689643	6	8	3	1	11	1	1	0	11560	28	0	36.1951	0	0
UL	0.0689821	6	8	3	12	1	1	1	0	1052	28	0	26.1672 	0	0
DL	0.0692321	6	9	0	1	12	1	1	0	12612	28	0	36.1816	0	0
DL	0.0694821	6	9	1	1	12	1	1	0	12612	28	0	36.1714	0	0
DL	0.0697321	6	9	2	1	12	1	1	0	12612	28	0	36.2108	0	0
DL	0.0699821	6	9	3	1	12	1	1	0	12612	28	0	36.2398	0	0
DL	0.0702143	7	0	0	1	11	1	1	0	11560	28	0	36.2393	0	0
UL	0.0702321	7	0	0	12	1	1	1	0	1052	28	0	26.2495 	0	0
DL	0.0704643	7	0	1	1	11	1	1	0	11560	28	0	36.2489	0	0
UL	0.0704821	7	0	1	12	1	1	1	0	1052	28	0	26.2575 	0	0
DL	0.0707143	7	0	2	1	11	1	1	0	11560	28	0	37.0888	0	0
UL	0.0707321	7	0	2	12	1	1	1	0	1052	28	0	27.0777 	0	0
DL	0.0709821	7	0	3	1	12	1	1	0	12612	28	0	37.0858	0	0
DL	0.0712321	7	1	0	1	12	1	1	0	12612	28	0	37.0989	0	0
DL	0.0714821	7	1	1	1	12	1	1	0	12612	28	0	37.1127	0	0
DL	0.0717321	7	1	2	1	12	1	1	0	12612	28	0	37.2364	0	0
DL	0.0719643	7	1	3	1	11	1	1	0	11560	28	0	37.2111	0	0
UL	0.0719821	7	1	3	12	1	1	1	0	1052	28	0	27.3444 	0	0
DL	0.0722143	7	2	0	1	11	1	1	0	11560	28	0	37.2288	0	0
UL	0.0722321	7	2	0	12	1	1	1	0	1052	28	0	27.3279 	0	0
DL	0.0724643	7	2	1	1	11	1	1	0	11560	28	0	37.2203	0	0
UL	0.0724821	7	2	1	12	1	1	1	0	1052	28	0	27.33 	0	0
DL	0.0727321	7	2	2	1	12	1	1	0	12612	28	0	37.2407	0	0
